[ Date      , Closing Price      , Open      , Daily High      , Daily Low      
         3/12/2009        ,47.03,42.71,47.21,42.5
         3/11/2009        ,42.33,45.91,46.02,42.09
         3/10/2009        ,45.71,47.34,48.3,45.3
         3/9/2009        ,47.07,46.14,48.8,44.99
         3/6/2009        ,45.52,43.91,46.27,43.59
         3/5/2009        ,43.61,45.49,45.65,42.87
         3/4/2009        ,45.38,41.1,45.8,41.1
         3/3/2009        ,41.65,39.5,42.06,39.45
         3/2/2009        ,40.15,44,44.13,39.85
         2/27/2009        ,44.76,44.52,44.9,42.55
         2/26/2009        ,45.22,42.63,45.3,42.5
         2/25/2009        ,42.5,39.92,42.82,39.39
         2/24/2009        ,39.96,38.24,40.1,37.71
         2/23/2009        ,38.44,39.75,41.5,37.86
         2/20/2009        ,40.03,39.42,40.13,37.53
         2/19/2009        ,39.48,34.69,39.7,34.62
         2/18/2009        ,34.62,35.03,36.18,34.2
         2/17/2009        ,34.93,36.81,37.44,34.44
         2/16/2009        ,36.68,37.92,38.5,36.63
         2/13/2009        ,37.51,34.52,38.26,33.82
         2/12/2009        ,33.98,36.12,36.26,33.54
         2/11/2009        ,35.94,38,38.48,35.68
         2/10/2009        ,37.55,39.62,41.78,37.34
         2/9/2009        ,39.56,40,42.41,39.41
         2/6/2009        ,40.17,40.73,42.63,38.59
         2/5/2009        ,41.17,40.26,41.22,39.47
         2/4/2009        ,40.32,41.03,41.91,39.71
         2/3/2009        ,40.78,40.54,41.14,39.65
         2/2/2009        ,40.08,42.03,42.12,39.8
         1/30/2009        ,41.68,41.54,43.44,41.01
         1/29/2009        ,41.44,42.02,42.29,40.17
         1/28/2009        ,42.16,42.21,43.6,40.6
         1/27/2009        ,41.58,45.89,47.48,41.41
         1/26/2009        ,45.73,46.3,48.58,45.21
         1/23/2009        ,46.47,43,47,41.4
         1/22/2009        ,43.67,43.87,45.08,40.4
         1/21/2009        ,43.55,41.16,44.41,40.25
         1/20/2009        ,40.84,40.77,43.77,39.08
         1/19/2009        ,40.64,42.41,42.62,40.2
         1/16/2009        ,36.51,35.5,36.85,34.17
         1/15/2009        ,35.4,37.15,38.02,33.22
         1/14/2009        ,37.28,38.85,39.39,35.5
         1/13/2009        ,37.78,37.21,39.5,36.06
         1/12/2009        ,37.59,40.33,40.72,37.48
         1/9/2009        ,40.83,42.34,42.69,39.35
         1/8/2009        ,41.7,42.66,43.63,40.52
         1/7/2009        ,42.63,48.65,49.06,42.41
         1/6/2009        ,48.58,48.42,50.49,47.56
         1/5/2009        ,48.81,47.4,49.25,45.55
         1/2/2009        ,46.34,42.66,46.65,41.03
         12/31/2008        ,44.6,38.71,45.45,36.88
         12/30/2008        ,39.03,40.2,40.29,37.91
         12/29/2008        ,40.02,38.9,42.21,37.52
         12/26/2008        ,37.71,35.96,37.93,35.59
         12/24/2008        ,35.35,39.34,39.34,35.09
         12/23/2008        ,38.98,39.52,40.62,37.78
         12/22/2008        ,39.91,42.75,43.39,39.5
         12/19/2008        ,42.36,42.16,43.23,40.9
         12/18/2008        ,43.98, , , 
         12/17/2008        ,40.06,44.25,45.52,39.88
         12/16/2008        ,43.6,44.68,46.52,42.59
         12/15/2008        ,44.51,47.04,50.04,44.11
         12/12/2008        ,46.28,47.03,47.39,43.33
         12/11/2008        ,47.98,43.75,49.12,43.29
         12/10/2008        ,43.52,42.72,46.16,41.86
         12/9/2008        ,42.07,43.98,44.59,41.84
         12/8/2008        ,43.71,41.9,44.67,41.64
         12/5/2008        ,40.81,43.75,44.45,40.5
         12/4/2008        ,43.67,46.68,47.1,43.38
         12/3/2008        ,46.79,47.59,48.03,46.12
         12/2/2008        ,46.96,48.63,50.25,46.85
         12/1/2008        ,49.28,53.5,53.88,48.68
         11/28/2008        ,54.43,53.82,56.1,51.12
         11/27/2008        ,53.87,53.59,54.36,52.62
         11/26/2008        ,54.44,51.08,54.95,50.11
         11/25/2008        ,50.77, , , 
         11/21/2008        ,49.93,49.08,51.11,48.31
         11/20/2008        ,49.42,53.45,53.66,48.52
         11/19/2008        ,53.62,54.6,55.33,53.37
         11/18/2008        ,54.39,55.07,55.97,53.97
         11/17/2008        ,54.95,55.93,58.95,54.72
         11/14/2008        ,57.04,58.85,58.85,55.69
         11/13/2008        ,58.24,55.54,59.65,54.58
         11/12/2008        ,56.16,58.92,59.5,55.35
         11/11/2008        ,59.33,60.84,61.06,58.33
         11/10/2008        ,62.41,62.17,65.57,59.6
         11/7/2008        ,61.04,60.2,62.87,60.05
         11/6/2008        ,60.77,64.98,65.48,60.12
         11/5/2008        ,65.3,69.6,69.71,65
         11/4/2008        ,70.53,63.68,71.75,62.25
         11/3/2008        ,63.91,67.48,69.17,63.64
         10/30/2008        ,65.96,67.92,70.53,64.03
         10/29/2008        ,67.5,65.13,69.21,63.67
         10/28/2008        ,62.73,62.7,65.18,61.62
         10/27/2008        ,63.22,64.84,65.8,61.28
         10/24/2008        ,64.15,69.39,69.42,62.65
         10/23/2008        ,67.84,67.55,69.45,65.92
         10/22/2008        ,66.75,71.2,71.3,66.18
         10/21/2008        ,72.18,75.65,75.85,70.31
         10/20/2008        ,74.25,72.49,76.11,71.79
         10/17/2008        ,71.85,72.86,74.28,69.84
         10/16/2008        ,69.85,73.36,74.5,68.58
         10/15/2008        ,74.54,78.33,79.1,73.48
         10/14/2008        ,78.63,82.5,84.83,78.32
         10/13/2008        ,81.19,80.55,82.53,79.43
         10/10/2008        ,77.7,84.55,84.55,77.09
         10/9/2008        ,86.59,88.14,89.8,84.2
         10/8/2008        ,88.95,89.21,90.98,86.05
         10/7/2008        ,90.06,88.51,93.33,87.86
         10/6/2008        ,87.81,91.9,92.49,87.56
         10/3/2008        ,93.88,93.77,96.01,91.31
         10/2/2008        ,93.97,99.54,100.29,93.55
         10/1/2008        ,98.53,102,102.86,96
         9/30/2008        ,100.64,96.19,102.42,93.36
         9/29/2008        ,96.37,106.83,106.83,95.06
         9/26/2008        ,106.89,107.6,107.6,104.26
         9/25/2008        ,108.02,105.9,108.66,103.23
         9/24/2008        ,105.73,106.88,109.8,104.78
         9/23/2008        ,106.61,109.05,109.55,104.03
         9/22/2008        ,109.37,102.76,110.43,102.08
         9/19/2008        ,104.55,97.82,104.55,97.52
         9/18/2008        ,97.88,97.81,102.26,95.69
         9/17/2008        ,97.16,93.43,97.62,91.37
         9/16/2008        ,91.15,93.65,93.96,90.52
         9/15/2008        ,95.71,98.78,99.98,93.9
         9/12/2008        ,101.18,101.3,102.88,100.03
         9/11/2008        ,100.87,102.79,103.92,100.2
         9/10/2008        ,102.58,103.01,105.1,101.34
         9/9/2008        ,103.26,106.23,106.42,101.82
         9/8/2008        ,106.34,108.02,109.1,104.7
         9/5/2008        ,106.23,107.4,108.09,105.14
         9/4/2008        ,107.89,109.56,110.6,106.47
         9/3/2008        ,109.35,109.61,109.84,107.25
         9/2/2008        ,109.71,111.07,111.25,105.5
         9/1/2008        ,110.9,116.95,117.22,110.59
         8/29/2008        ,115.46,116.3,118.74,114.99
         8/28/2008        ,115.59,118.34,120.48,114.05
         8/27/2008        ,118.15,116.12,119.6,116.1
         8/26/2008        ,114.37,115.38,115.8,114.34
         8/25/2008        ,115.11,114.18,116.09,113.65
         8/22/2008        ,114.59,121.41,121.81,114.18
         8/21/2008        ,121.18,115.93,122,115.92
         8/20/2008        ,115.56,115.19,116.96,112.59
         8/19/2008        ,114.53,112.78,116.59,111.69
         8/18/2008        ,112.87,113.34,115.31,112
         8/15/2008        ,113.77,114.57,114.62,111.33
         8/14/2008        ,115.01,116.67,117.42,112.65
         8/13/2008        ,116,113.32,117.45,112.88
         8/12/2008        ,113.01,114.76,115.95,112.32
         8/11/2008        ,114.45,115.56,116.91,112.73
         8/8/2008        ,115.2,119.82,120.08,114.7
         8/7/2008        ,120.02,118.73,121.82,117.95
         8/6/2008        ,118.58,118.3,120.46,117.14
         8/5/2008        ,119.17,120.7,121.22,117.99
         8/4/2008        ,121.41,125.7,126.31,119.51
         8/1/2008        ,125.1,123.51,128.59,122.1
         7/31/2008        ,124.08,126.66,127.88,122.73
         7/30/2008        ,126.77,121.92,127.36,120.85
         7/29/2008        ,122.19,124.97,126,120.33
         7/28/2008        ,124.73,123.29,125.33,122.61
         7/25/2008        ,123.26,125.7,126.49,122.5
         7/24/2008        ,125.49,124.35,126.44,123.44
         7/23/2008        ,124.44,128.15,128.72,124.13
         7/22/2008        ,128.42,131.46,132.89,126.36
         7/21/2008        ,131.04,129.53,132.05,128.62
         7/18/2008        ,128.88,130,132.02,128.26
         7/17/2008        ,129.29,134.97,136.76,129
         7/16/2008        ,134.6,138.57,139.25,132.1
         7/15/2008        ,138.74,144.93,146.74,135.96
         7/14/2008        ,145.18,144.79,146.36,142.56
         7/11/2008        ,145.08,141.82,147.27,141.53
         7/10/2008        ,141.65,136.7,142.26,135.44
         7/9/2008        ,136.05,136.05,138.26,135.32
         7/8/2008        ,136.04,141.14,142.41,135.15
         7/7/2008        ,141.37,144.51,144.51,139.51
         7/4/2008        ,143.85,145.45,145.68,143.72
         7/3/2008        ,145.29,144.16,145.82,143.23
         7/2/2008        ,143.57,141.65,144.33,140.28
         7/1/2008        ,140.97,139.99,143.33,139.99
         6/30/2008        ,140,140.82,143.6,139.13
         6/27/2008        ,140.21,139.12,143.01,138.92
         6/26/2008        ,139.64,134.55,140.37,133.73
         6/25/2008        ,134.55,137,137.56,131.97
         6/24/2008        ,137,137.17,138.72,135.9
         6/23/2008        ,136.74,135.15,138.35,134.05
         6/20/2008        ,135.36, ,137.5, 
         6/19/2008        ,131.93,136.23,137.84,131.65
         6/18/2008        ,136.68,133.35,136.87,131.75
         6/17/2008        ,134.01,133.9,135.22,131.98
         6/16/2008        ,134.61,133.9,133.9,133.9
         6/15/2008        ,134.86,134.49, , 
         6/13/2008        ,134.86,136,137.07,133.46
         6/12/2008        ,136.74,136,137.44,131.54
         6/11/2008        ,136.38,131,138.3,131.39
         6/10/2008        ,131.31,134,137.98,130.78
         6/9/2008        ,134.35,138,138.28,133
         6/6/2008        ,138.54,128,139.12,127.8
         6/5/2008        ,127.79,122,128.33,121.62
         6/4/2008        ,122.3,124,125.13,121.85
         6/3/2008        ,124.31,127,127.98,123.86
         6/2/2008        ,127.76,127.5,129.35,125.2
         5/30/2008        ,127.35,126,128.29,124.69
         5/29/2008        ,126.62,130,133.13,126.11
         5/28/2008        ,131.03,128,131.57,125.97
         5/27/2008        ,128.85,133,133.64,128.18
         5/26/2008        ,132.91,131.8,133.45,131.73
         5/23/2008        ,132.19,130,133.7,130.2
         5/22/2008        ,130.81,134,135.07,130.07
         5/21/2008        ,133.17,128,134.1,128.6
         5/20/2008        ,128.98, ,129.27,126.28
         5/19/2008        ,127.05,126.37,127.77,125.3
         5/16/2008        ,126.29,124,127.8,124.04
         5/15/2008        ,124.12,122,126.63,122.2
         5/14/2008        ,124.22,125.39,126.02,123.75
         5/13/2008        ,125.8,123,126.98,123.13
         5/12/2008        ,124.23,125.7,126.38,123.74
         5/9/2008        ,125.96,124,126.25,124.16
         5/8/2008        ,123.69,123,124.61,121.57
         5/7/2008        ,123.53,121,123.87,120.54
         5/6/2008        ,121.84,119,122.69,119.34
         5/5/2008        ,119.97,116.23,120.34,115.9
         5/2/2008        ,116.32,112,116.77,111.77
         5/1/2008        ,112.52,114,115,110.3
         4/30/2008        ,113.46,115,116.7,113.3
         4/29/2008        ,115.63,118,118.64,114.98
         4/28/2008        ,118.75,119,119.72,118.17
         4/25/2008        ,118.52,115,119.61,114.55
         4/24/2008        ,116.06,118,118.28,114.25
         4/23/2008        ,118.3,118,118.57,116.45
